net,length_um
b[0],38.11µm
b[19],37.11µm
b[21],35.46µm
a[12],30.63µm
net57,30.25µm
b[25],27.56µm
b[15],27.49µm
b[29],27.43µm
a[22],27.04µm
net43,26.44µm
_107_,26.24µm
b[1],25.75µm
_080_,25.32µm
b[12],25.17µm
a[0],24.91µm
net54,24.26µm
a[31],23.87µm
a[10],23.12µm
clk,22.82µm
a[3],22.04µm
a[24],21.5µm
net65,21.4µm
net9,21.34µm
net21,21.04µm
_066_,20.66µm
a[8],20.39µm
a[26],19.47µm
net36,18.94µm
net10,18.56µm
a[29],18.09µm
a[1],18.05µm
net8,17.86µm
b[2],17.82µm
_095_,17.02µm
_015_,16.18µm
_044_,15.72µm
_073_,15.72µm
net26,15.5µm
_002_,15.36µm
net25,14.98µm
_104_,14.92µm
_068_,14.7µm
net53,14.68µm
a[4],14.3µm
net12,14.085µm
b[10],14.08µm
net11,14µm
net64,14µm
b[11],13.98µm
net4,13.62µm
_077_,13.34µm
a[27],13.17µm
_067_,13.02µm
net22,13.02µm
_094_,12.8µm
a[2],12.62µm
net41,12.48µm
_006_,12.46µm
_108_,12.44µm
a[7],12.16µm
a[28],12.09µm
_001_,11.74µm
_013_,11.58µm
net63,11.54µm
net6,11.455µm
net15,11.42µm
net51,11.4µm
_046_,11.36µm
net31,11.36µm
_072_,11.32µm
net37,11.32µm
_012_,11.2µm
_018_,11.14µm
b[28],11.07µm
a[20],11.02µm
net7,10.99µm
net55,10.855µm
_004_,10.84µm
net44,10.84µm
net42,10.8µm
b[3],10.78µm
_005_,10.59µm
a[23],10.56µm
a[17],10.32µm
a[5],10.32µm
b[4],10.32µm
b[6],10.32µm
b[7],10.32µm
_093_,10.16µm
a[11],10.1µm
net48,10.08µm
net39,9.81µm
_003_,9.78µm
net33,9.78µm
_064_,9.66µm
b[24],9.64µm
net52,9.56µm
_010_,9.4µm
_022_,9.4µm
a[6],9.4µm
b[5],9.4µm
_109_,9.24µm
a[21],9.18µm
b[23],9.18µm
net18,9.145µm
net38,9.13µm
b[16],9.07µm
b[17],9.05µm
_106_,9.04µm
_087_,9.02µm
_092_,9µm
_099_,9µm
_100_,8.94µm
_021_,8.92µm
_057_,8.84µm
net16,8.77µm
net17,8.76µm
a[25],8.72µm
b[20],8.72µm
b[22],8.72µm
_063_,8.48µm
_111_,8.44µm
net62,8.425µm
net59,8.36µm
net60,8.32µm
net20,8.29µm
b[8],8.25µm
_007_,8.24µm
net56,8.22µm
net58,8.125µm
_065_,8.12µm
_069_,7.94µm
net13,7.66µm
net23,7.66µm
net19,7.58µm
net46,7.58µm
_088_,7.56µm
_029_,7.52µm
net1,7.485µm
a[30],7.47µm
net40,7.44µm
_053_,7.4µm
net61,7.325µm
_051_,7.32µm
_014_,7.18µm
_052_,7.1µm
_070_,7.1µm
net14,6.98µm
_042_,6.76µm
net2,6.75µm
_091_,6.74µm
_024_,6.72µm
_075_,6.72µm
net24,6.7µm
_090_,6.64µm
_008_,6.6µm
_059_,6.48µm
_038_,6.4µm
_076_,6.32µm
_047_,6.3µm
net50,6.26µm
_049_,6.2µm
_086_,6.18µm
net3,6.085µm
_103_,6.06µm
_105_,6.06µm
net30,6.05µm
_025_,6.02µm
_034_,6.02µm
_035_,5.98µm
a[16],5.97µm
b[30],5.97µm
_028_,5.94µm
_113_,5.86µm
_037_,5.84µm
z,5.75µm
_020_,5.74µm
_026_,5.72µm
_112_,5.68µm
_056_,5.64µm
b[26],5.63µm
_011_,5.6µm
_062_,5.58µm
_089_,5.48µm
_017_,5.4µm
_050_,5.26µm
_000_,5.185µm
net34,5.05µm
_009_,5.02µm
_096_,5µm
b[27],4.95µm
_030_,4.92µm
_058_,4.9µm
net49,4.9µm
a[13],4.83µm
_085_,4.8µm
_098_,4.76µm
b[31],4.61µm
_019_,4.56µm
a[15],4.49µm
b[13],4.49µm
_036_,4.48µm
_061_,4.48µm
_040_,4.46µm
_041_,4.44µm
_027_,4.36µm
_048_,4.34µm
net47,4.34µm
_110_,4.315µm
_039_,4.22µm
a[18],4.15µm
_071_,4.14µm
_016_,4.02µm
net66,4µm
net27,3.9µm
net29,3.88µm
a[19],3.81µm
b[18],3.81µm
_023_,3.66µm
net67,3.64µm
_081_,3.54µm
_045_,3.52µm
a[14],3.47µm
a[9],3.47µm
b[14],3.47µm
b[9],3.47µm
net35,3.44µm
_097_,3.435µm
_043_,3.42µm
_074_,3.22µm
_060_,3.2µm
_033_,3.08µm
_078_,3.08µm
_082_,3.08µm
_032_,2.72µm
_055_,2.62µm
_079_,2.62µm
_101_,2.5µm
_084_,2.3µm
_031_,2.18µm
_083_,2.16µm
_102_,2.16µm
net45,2.04µm
net5,1.6µm
net32,1.6µm
net28,1.14µm
_054_,1.02µm
