Instance name, X location, Y location, Voltage
_173_, 21.84, 51.68, 1.79999
_212_, 21.84, 51.68, 1.79999
input9, 21.84, 51.68, 1.79999
input25, 21.84, 51.68, 1.79999
input59, 21.84, 51.68, 1.79999
FILLER_0_15_41, 21.84, 51.68, 1.79999
_205_, 21.84, 46.24, 1.79999
_207_, 21.84, 46.24, 1.79999
_213_, 21.84, 46.24, 1.79999
FILLER_0_13_29, 21.84, 46.24, 1.79999
FILLER_0_14_36, 21.84, 46.24, 1.79999
_124_, 21.84, 35.36, 1.8
_169_, 21.84, 35.36, 1.8
_171_, 21.84, 35.36, 1.8
_168_, 21.84, 29.92, 1.79999
_170_, 21.84, 29.92, 1.79999
_172_, 21.84, 29.92, 1.79999
_226_, 21.84, 29.92, 1.79999
FILLER_0_6_29, 21.84, 29.92, 1.79999
FILLER_0_7_30, 21.84, 29.92, 1.79999
_163_, 21.84, 24.48, 1.79999
_225_, 21.84, 24.48, 1.79999
_227_, 21.84, 24.48, 1.79999
FILLER_0_4_29, 21.84, 24.48, 1.79999
FILLER_0_5_33, 21.84, 24.48, 1.79999
FILLER_0_6_41, 21.84, 24.48, 1.79999
_224_, 21.84, 19.04, 1.79999
_228_, 21.84, 19.04, 1.79999
FILLER_0_2_29, 21.84, 19.04, 1.79999
_153_, 21.84, 13.6, 1.79999
_155_, 21.84, 13.6, 1.79999
_156_, 21.84, 13.6, 1.79999
_158_, 21.84, 13.6, 1.79999
_159_, 21.84, 13.6, 1.79999
_162_, 21.84, 13.6, 1.79999
input43, 21.84, 13.6, 1.79999
input46, 21.84, 13.6, 1.79999
input48, 21.84, 13.6, 1.79999
PHY_EDGE_ROW_14_Left_30, 5.52, 51.68, 1.79999
PHY_EDGE_ROW_15_Left_31, 5.52, 51.68, 1.79999
input24, 5.52, 51.68, 1.79999
input54, 5.52, 51.68, 1.79999
PHY_EDGE_ROW_14_Right_14, 49.22, 51.68, 1.79999
PHY_EDGE_ROW_15_Right_15, 49.22, 51.68, 1.79999
_116_, 13.68, 51.68, 1.79999
_130_, 13.68, 51.68, 1.79999
_131_, 13.68, 51.68, 1.79999
_182_, 13.68, 51.68, 1.79999
input21, 13.68, 51.68, 1.79999
input27, 13.68, 51.68, 1.79999
input28, 13.68, 51.68, 1.79999
