Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_15_90,VGND,li1,47.3800,54.4000,0.000003
FILLER_0_15_62,VGND,li1,34.2700,54.4000,0.000003
FILLER_0_15_57,VGND,li1,32.2000,54.4000,0.000003
FILLER_0_15_55,VGND,li1,31.0500,54.4000,0.000003
FILLER_0_15_41,VGND,li1,25.0700,54.4000,0.000002
FILLER_0_15_37,VGND,li1,22.7700,54.4000,0.000002
FILLER_0_15_29,VGND,li1,19.3200,54.4000,0.000003
FILLER_0_15_26,VGND,li1,17.9400,54.4000,0.000003
FILLER_0_15_16,VGND,li1,13.1100,54.4000,0.000003
FILLER_0_15_9,VGND,li1,9.8900,54.4000,0.000003
FILLER_0_14_91,VGND,li1,47.6100,48.9600,0.000005
FILLER_0_14_76,VGND,li1,40.9400,48.9600,0.000005
FILLER_0_14_63,VGND,li1,34.9600,48.9600,0.000005
FILLER_0_14_36,VGND,li1,23.0000,48.9600,0.000004
FILLER_0_14_3,VGND,li1,7.1300,48.9600,0.000005
FILLER_0_13_88,VGND,li1,46.2300,48.9600,0.000005
FILLER_0_13_79,VGND,li1,42.0900,48.9600,0.000005
FILLER_0_13_63,VGND,li1,34.7300,48.9600,0.000004
FILLER_0_13_57,VGND,li1,33.1200,48.9600,0.000004
FILLER_0_13_52,VGND,li1,30.3600,48.9600,0.000004
FILLER_0_13_33,VGND,li1,20.9300,48.9600,0.000004
FILLER_0_13_29,VGND,li1,19.7800,48.9600,0.000004
FILLER_0_13_20,VGND,li1,15.6400,48.9600,0.000005
FILLER_0_13_3,VGND,li1,7.1300,48.9600,0.000005
FILLER_0_12_85,VGND,li1,44.8500,43.5200,0.000003
FILLER_0_12_71,VGND,li1,38.4100,43.5200,0.000002
FILLER_0_12_65,VGND,li1,36.8000,43.5200,0.000002
FILLER_0_12_53,VGND,li1,32.6600,43.5200,0.000002
FILLER_0_12_41,VGND,li1,27.1400,43.5200,0.000002
FILLER_0_12_29,VGND,li1,21.6200,43.5200,0.000002
FILLER_0_12_25,VGND,li1,17.7100,43.5200,0.000002
FILLER_0_12_17,VGND,li1,15.1800,43.5200,0.000002
FILLER_0_12_3,VGND,li1,7.3600,43.5200,0.000002
FILLER_0_11_77,VGND,li1,41.4000,43.5200,0.000003
FILLER_0_11_69,VGND,li1,39.1000,43.5200,0.000003
FILLER_0_11_57,VGND,li1,34.5000,43.5200,0.000002
FILLER_0_11_54,VGND,li1,30.8200,43.5200,0.000002
FILLER_0_11_46,VGND,li1,28.5200,43.5200,0.000002
FILLER_0_11_34,VGND,li1,23.9200,43.5200,0.000001
FILLER_0_11_22,VGND,li1,18.4000,43.5200,0.000002
FILLER_0_11_6,VGND,li1,8.5100,43.5200,0.000002
FILLER_0_10_83,VGND,li1,43.9300,38.0800,0.000003
FILLER_0_10_65,VGND,li1,38.1800,38.0800,0.000003
FILLER_0_10_53,VGND,li1,32.6600,38.0800,0.000002
FILLER_0_10_41,VGND,li1,27.1400,38.0800,0.000002
FILLER_0_10_29,VGND,li1,21.6200,38.0800,0.000002
FILLER_0_10_26,VGND,li1,17.9400,38.0800,0.000003
FILLER_0_9_77,VGND,li1,41.4000,38.0800,0.000003
FILLER_0_9_69,VGND,li1,39.1000,38.0800,0.000003
FILLER_0_9_57,VGND,li1,34.5000,38.0800,0.000003
FILLER_0_9_55,VGND,li1,31.0500,38.0800,0.000002
FILLER_0_9_47,VGND,li1,28.9800,38.0800,0.000002
FILLER_0_9_35,VGND,li1,24.3800,38.0800,0.000002
FILLER_0_9_24,VGND,li1,17.2500,38.0800,0.000003
FILLER_0_9_16,VGND,li1,14.7200,38.0800,0.000003
FILLER_0_9_12,VGND,li1,11.2700,38.0800,0.000003
FILLER_0_8_85,VGND,li1,45.5400,32.6400,0.000003
FILLER_0_8_80,VGND,li1,43.2400,32.6400,0.000003
FILLER_0_8_68,VGND,li1,39.5600,32.6400,0.000003
FILLER_0_8_63,VGND,li1,34.9600,32.6400,0.000003
FILLER_0_8_57,VGND,li1,31.9700,32.6400,0.000002
FILLER_0_8_53,VGND,li1,30.8200,32.6400,0.000002
FILLER_0_8_41,VGND,li1,27.1400,32.6400,0.000002
FILLER_0_8_25,VGND,li1,17.7100,32.6400,0.000002
FILLER_0_8_21,VGND,li1,15.4100,32.6400,0.000002
FILLER_0_8_15,VGND,li1,13.8000,32.6400,0.000002
FILLER_0_8_3,VGND,li1,9.6600,32.6400,0.000002
FILLER_0_7_88,VGND,li1,46.2300,32.6400,0.000003
FILLER_0_7_75,VGND,li1,40.2500,32.6400,0.000003
FILLER_0_7_69,VGND,li1,38.6400,32.6400,0.000003
FILLER_0_7_30,VGND,li1,20.0100,32.6400,0.000002
FILLER_0_7_18,VGND,li1,16.5600,32.6400,0.000002
FILLER_0_7_6,VGND,li1,11.0400,32.6400,0.000002
FILLER_0_6_72,VGND,li1,39.3300,27.2000,0.000004
FILLER_0_6_55,VGND,li1,32.6600,27.2000,0.000004
FILLER_0_6_49,VGND,li1,28.5200,27.2000,0.000003
