Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_15_90,VPWR,li1,47.3800,51.6800,1.799994
FILLER_0_15_62,VPWR,li1,34.2700,51.6800,1.799995
FILLER_0_15_57,VPWR,li1,32.2000,51.6800,1.799995
FILLER_0_15_55,VPWR,li1,31.0500,51.6800,1.799995
FILLER_0_15_41,VPWR,li1,25.0700,51.6800,1.799996
FILLER_0_15_37,VPWR,li1,22.7700,51.6800,1.799996
FILLER_0_15_29,VPWR,li1,19.3200,51.6800,1.799996
FILLER_0_15_26,VPWR,li1,17.9400,51.6800,1.799996
FILLER_0_15_16,VPWR,li1,13.1100,51.6800,1.799996
FILLER_0_15_9,VPWR,li1,9.8900,51.6800,1.799996
FILLER_0_14_91,VPWR,li1,47.6100,51.6800,1.799994
FILLER_0_14_76,VPWR,li1,40.9400,51.6800,1.799994
FILLER_0_14_63,VPWR,li1,34.9600,51.6800,1.799995
FILLER_0_14_36,VPWR,li1,23.0000,51.6800,1.799996
FILLER_0_14_3,VPWR,li1,7.1300,51.6800,1.799996
FILLER_0_13_88,VPWR,li1,46.2300,46.2400,1.799995
FILLER_0_13_79,VPWR,li1,42.0900,46.2400,1.799995
FILLER_0_13_63,VPWR,li1,34.7300,46.2400,1.799996
FILLER_0_13_57,VPWR,li1,33.1200,46.2400,1.799996
FILLER_0_13_52,VPWR,li1,30.3600,46.2400,1.799996
FILLER_0_13_33,VPWR,li1,20.9300,46.2400,1.799998
FILLER_0_13_29,VPWR,li1,19.7800,46.2400,1.799998
FILLER_0_13_20,VPWR,li1,15.6400,46.2400,1.799997
FILLER_0_13_3,VPWR,li1,7.1300,46.2400,1.799997
FILLER_0_12_85,VPWR,li1,44.8500,46.2400,1.799995
FILLER_0_12_71,VPWR,li1,38.4100,46.2400,1.799996
FILLER_0_12_65,VPWR,li1,36.8000,46.2400,1.799996
FILLER_0_12_53,VPWR,li1,32.6600,46.2400,1.799996
FILLER_0_12_41,VPWR,li1,27.1400,46.2400,1.799997
FILLER_0_12_29,VPWR,li1,21.6200,46.2400,1.799998
FILLER_0_12_25,VPWR,li1,17.7100,46.2400,1.799997
FILLER_0_12_17,VPWR,li1,15.1800,46.2400,1.799997
FILLER_0_12_3,VPWR,li1,7.3600,46.2400,1.799997
FILLER_0_11_77,VPWR,li1,41.4000,40.8000,1.799997
FILLER_0_11_69,VPWR,li1,39.1000,40.8000,1.799997
FILLER_0_11_57,VPWR,li1,34.5000,40.8000,1.799997
FILLER_0_11_54,VPWR,li1,30.8200,40.8000,1.799998
FILLER_0_11_46,VPWR,li1,28.5200,40.8000,1.799998
FILLER_0_11_34,VPWR,li1,23.9200,40.8000,1.799998
FILLER_0_11_22,VPWR,li1,18.4000,40.8000,1.799998
FILLER_0_11_6,VPWR,li1,8.5100,40.8000,1.799997
FILLER_0_10_83,VPWR,li1,43.9300,40.8000,1.799997
FILLER_0_10_65,VPWR,li1,38.1800,40.8000,1.799997
FILLER_0_10_53,VPWR,li1,32.6600,40.8000,1.799997
FILLER_0_10_41,VPWR,li1,27.1400,40.8000,1.799998
FILLER_0_10_29,VPWR,li1,21.6200,40.8000,1.799998
FILLER_0_10_26,VPWR,li1,17.9400,40.8000,1.799998
FILLER_0_9_77,VPWR,li1,41.4000,35.3600,1.799998
FILLER_0_9_69,VPWR,li1,39.1000,35.3600,1.799998
FILLER_0_9_57,VPWR,li1,34.5000,35.3600,1.799998
FILLER_0_9_55,VPWR,li1,31.0500,35.3600,1.799998
FILLER_0_9_47,VPWR,li1,28.9800,35.3600,1.799998
FILLER_0_9_35,VPWR,li1,24.3800,35.3600,1.799999
FILLER_0_9_24,VPWR,li1,17.2500,35.3600,1.799999
FILLER_0_9_16,VPWR,li1,14.7200,35.3600,1.799999
FILLER_0_9_12,VPWR,li1,11.2700,35.3600,1.799998
FILLER_0_8_85,VPWR,li1,45.5400,35.3600,1.799998
FILLER_0_8_80,VPWR,li1,43.2400,35.3600,1.799998
FILLER_0_8_68,VPWR,li1,39.5600,35.3600,1.799998
FILLER_0_8_63,VPWR,li1,34.9600,35.3600,1.799998
FILLER_0_8_57,VPWR,li1,31.9700,35.3600,1.799998
FILLER_0_8_53,VPWR,li1,30.8200,35.3600,1.799998
FILLER_0_8_41,VPWR,li1,27.1400,35.3600,1.799999
FILLER_0_8_25,VPWR,li1,17.7100,35.3600,1.799999
FILLER_0_8_21,VPWR,li1,15.4100,35.3600,1.799999
FILLER_0_8_15,VPWR,li1,13.8000,35.3600,1.799999
FILLER_0_8_3,VPWR,li1,9.6600,35.3600,1.799998
FILLER_0_7_88,VPWR,li1,46.2300,29.9200,1.799994
FILLER_0_7_75,VPWR,li1,40.2500,29.9200,1.799994
FILLER_0_7_69,VPWR,li1,38.6400,29.9200,1.799995
FILLER_0_7_30,VPWR,li1,20.0100,29.9200,1.799997
FILLER_0_7_18,VPWR,li1,16.5600,29.9200,1.799997
FILLER_0_7_6,VPWR,li1,11.0400,29.9200,1.799996
FILLER_0_6_72,VPWR,li1,39.3300,29.9200,1.799995
FILLER_0_6_55,VPWR,li1,32.6600,29.9200,1.799995
FILLER_0_6_49,VPWR,li1,28.5200,29.9200,1.799996
FILLER_0_6_41,VPWR,li1,26.2200,29.9200,1.799996
FILLER_0_6_29,VPWR,li1,19.7800,29.9200,1.799997
FILLER_0_6_27,VPWR,li1,18.1700,29.9200,1.799997
FILLER_0_6_23,VPWR,li1,17.0200,29.9200,1.799997
FILLER_0_6_14,VPWR,li1,12.1900,29.9200,1.799996
FILLER_0_6_6,VPWR,li1,10.1200,29.9200,1.799996
FILLER_0_5_88,VPWR,li1,46.2300,24.4800,1.799993
