net,length_um
net8,50.52µm
net63,49.2µm
_072_,45.98µm
_066_,45.58µm
net65,41.28µm
_023_,39.4µm
clk,36.51µm
net64,35.24µm
_025_,34.8µm
_107_,32.92µm
_077_,32.88µm
net21,31.94µm
_064_,31.6µm
_015_,30.68µm
net40,26.84µm
net36,26.68µm
net32,25.88µm
_047_,25.8µm
_073_,23.4µm
_053_,22.46µm
_095_,21.92µm
_103_,21.08µm
_106_,20.94µm
net12,20.785µm
_070_,20.52µm
net44,20.32µm
net33,19.9µm
net22,18.52µm
net56,17.94µm
_093_,17.72µm
net53,17.52µm
net57,17.4µm
_094_,17.26µm
net31,17.14µm
_080_,17.04µm
net9,16.72µm
_091_,16.64µm
_010_,15.46µm
_018_,15.42µm
_017_,15.3µm
_002_,14.76µm
_051_,14.74µm
net24,14.56µm
_076_,14.42µm
net49,14.1µm
_067_,14µm
net13,13.62µm
_090_,13.22µm
net59,13.02µm
net30,12.99µm
net37,12.98µm
_034_,12.82µm
_029_,12.8µm
net1,12.755µm
net20,12.725µm
net54,12.46µm
_026_,12.26µm
net48,12.22µm
_020_,11.88µm
net3,11.87µm
net55,11.785µm
_112_,11.62µm
net52,11.58µm
net4,11.32µm
net17,11.32µm
_004_,11.12µm
_085_,11.08µm
net16,11.08µm
net51,10.98µm
net6,10.95µm
_113_,10.68µm
a[17],10.66µm
a[19],10.66µm
a[6],10.66µm
b[17],10.66µm
b[18],10.66µm
b[19],10.66µm
net25,10.64µm
_042_,10.62µm
net26,10.54µm
_071_,10.52µm
_104_,10.46µm
_062_,10.4µm
net18,10.175µm
net19,10.06µm
net47,10.06µm
net41,9.82µm
a[18],9.74µm
a[4],9.74µm
a[5],9.74µm
a[7],9.74µm
b[4],9.74µm
b[5],9.74µm
b[6],9.74µm
b[7],9.74µm
a[20],9.64µm
a[21],9.64µm
b[20],9.64µm
b[22],9.64µm
_096_,9.6µm
net61,9.575µm
_050_,9.48µm
net34,9.48µm
net14,9.36µm
net43,9.36µm
_111_,9.34µm
net35,9.245µm
net50,9.18µm
net38,9.165µm
z,8.96µm
_075_,8.88µm
_013_,8.82µm
net60,8.78µm
a[10],8.72µm
a[11],8.72µm
a[22],8.72µm
a[23],8.72µm
a[8],8.72µm
b[10],8.72µm
b[11],8.72µm
b[21],8.72µm
b[23],8.72µm
_028_,8.7µm
net23,8.6µm
_109_,8.58µm
_001_,8.56µm
_048_,8.56µm
_037_,8.48µm
_041_,8.44µm
net11,8.44µm
_006_,8.42µm
net58,8.35µm
_054_,8.34µm
net2,8.325µm
net15,8.32µm
_059_,8.31µm
net62,8.205µm
net29,8.13µm
_022_,8.12µm
_007_,8.06µm
net10,8.06µm
_110_,8µm
net42,7.98µm
net45,7.94µm
_088_,7.92µm
_097_,7.92µm
_030_,7.78µm
_014_,7.64µm
net28,7.6µm
_039_,7.56µm
_044_,7.54µm
_045_,7.5µm
_060_,7.5µm
_089_,7.32µm
_027_,7.22µm
_099_,7.18µm
net39,7.175µm
b[14],6.77µm
b[3],6.77µm
net7,6.745µm
_049_,6.72µm
a[1],6.43µm
b[13],6.43µm
b[8],6.43µm
a[25],6.31µm
a[28],6.31µm
b[16],6.31µm
_092_,6.3µm
net27,6.14µm
a[0],6.09µm
a[13],6.09µm
a[9],6.09µm
a[27],5.97µm
a[30],5.97µm
_038_,5.94µm
a[14],5.75µm
b[2],5.75µm
_040_,5.72µm
b[27],5.63µm
b[28],5.63µm
_005_,5.48µm
a[3],5.41µm
b[12],5.41µm
_082_,5.38µm
_087_,5.34µm
b[25],5.29µm
b[31],5.29µm
_081_,5.26µm
_108_,5.14µm
_052_,5.12µm
b[0],5.07µm
b[15],5.07µm
a[26],4.95µm
a[31],4.95µm
b[24],4.95µm
b[29],4.95µm
_033_,4.94µm
net46,4.88µm
_065_,4.8µm
a[15],4.73µm
b[1],4.73µm
a[16],4.61µm
a[24],4.61µm
a[29],4.61µm
b[26],4.61µm
b[30],4.61µm
_000_,4.585µm
_012_,4.58µm
_009_,4.56µm
_016_,4.48µm
_069_,4.42µm
_083_,4.42µm
a[12],4.39µm
a[2],4.39µm
b[9],4.39µm
_102_,4.24µm
_021_,4.2µm
_036_,4.2µm
_086_,4.02µm
_055_,4µm
_079_,4µm
net5,3.9µm
_058_,3.88µm
_101_,3.74µm
_011_,3.56µm
_074_,3.54µm
_078_,3.44µm
_035_,3.18µm
_061_,3.115µm
_024_,3.08µm
_031_,2.64µm
_046_,2.64µm
_032_,2.4µm
_056_,2.38µm
_008_,2.16µm
_063_,2.16µm
_003_,2.04µm
_057_,1.94µm
_100_,1.72µm
_105_,1.7µm
_084_,1.36µm
_019_,1.02µm
_043_,1.02µm
_098_,0.92µm
_068_,0.8µm
