Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_30_241,VPWR,li1,116.6100,95.2000,1.799992
FILLER_0_30_237,VPWR,li1,115.4600,95.2000,1.799992
FILLER_0_30_225,VPWR,li1,111.7800,95.2000,1.799992
FILLER_0_30_221,VPWR,li1,107.8700,95.2000,1.799992
FILLER_0_30_209,VPWR,li1,104.4200,95.2000,1.799992
FILLER_0_30_197,VPWR,li1,98.9000,95.2000,1.799992
FILLER_0_30_193,VPWR,li1,94.9900,95.2000,1.799992
FILLER_0_30_181,VPWR,li1,91.5400,95.2000,1.799992
FILLER_0_30_174,VPWR,li1,86.4800,95.2000,1.799992
FILLER_0_30_169,VPWR,li1,83.7200,95.2000,1.799992
FILLER_0_30_167,VPWR,li1,82.5700,95.2000,1.799993
FILLER_0_30_160,VPWR,li1,80.0400,95.2000,1.799993
FILLER_0_30_153,VPWR,li1,76.8200,95.2000,1.799993
FILLER_0_30_146,VPWR,li1,73.6000,95.2000,1.799993
FILLER_0_30_141,VPWR,li1,70.8400,95.2000,1.799993
FILLER_0_30_139,VPWR,li1,69.6900,95.2000,1.799993
FILLER_0_30_132,VPWR,li1,67.1600,95.2000,1.799993
FILLER_0_30_126,VPWR,li1,64.1700,95.2000,1.799993
FILLER_0_30_118,VPWR,li1,61.6400,95.2000,1.799994
FILLER_0_30_113,VPWR,li1,57.9600,95.2000,1.799994
FILLER_0_30_111,VPWR,li1,56.8100,95.2000,1.799994
FILLER_0_30_104,VPWR,li1,54.2800,95.2000,1.799994
FILLER_0_30_97,VPWR,li1,51.0600,95.2000,1.799995
FILLER_0_30_90,VPWR,li1,47.8400,95.2000,1.799995
FILLER_0_30_85,VPWR,li1,45.0800,95.2000,1.799995
FILLER_0_30_83,VPWR,li1,43.9300,95.2000,1.799995
FILLER_0_30_77,VPWR,li1,41.6300,95.2000,1.799996
FILLER_0_30_69,VPWR,li1,39.1000,95.2000,1.799996
FILLER_0_30_57,VPWR,li1,34.5000,95.2000,1.799997
FILLER_0_30_53,VPWR,li1,30.5900,95.2000,1.799997
FILLER_0_30_41,VPWR,li1,27.1400,95.2000,1.799998
FILLER_0_30_29,VPWR,li1,21.6200,95.2000,1.799999
FILLER_0_30_27,VPWR,li1,18.1700,95.2000,1.799999
FILLER_0_30_15,VPWR,li1,15.1800,95.2000,1.799999
FILLER_0_30_3,VPWR,li1,9.6600,95.2000,1.799999
FILLER_0_29_241,VPWR,li1,116.6100,89.7600,1.799992
FILLER_0_29_237,VPWR,li1,115.4600,89.7600,1.799992
FILLER_0_29_225,VPWR,li1,111.7800,89.7600,1.799992
FILLER_0_29_222,VPWR,li1,108.1000,89.7600,1.799992
FILLER_0_29_210,VPWR,li1,104.8800,89.7600,1.799992
FILLER_0_29_198,VPWR,li1,99.3600,89.7600,1.799992
FILLER_0_29_186,VPWR,li1,93.8400,89.7600,1.799992
FILLER_0_29_174,VPWR,li1,88.3200,89.7600,1.799992
FILLER_0_29_167,VPWR,li1,82.5700,89.7600,1.799992
FILLER_0_29_161,VPWR,li1,80.9600,89.7600,1.799992
FILLER_0_29_149,VPWR,li1,76.8200,89.7600,1.799992
FILLER_0_29_137,VPWR,li1,71.3000,89.7600,1.799993
FILLER_0_29_125,VPWR,li1,65.7800,89.7600,1.799993
FILLER_0_29_113,VPWR,li1,60.2600,89.7600,1.799994
FILLER_0_29_111,VPWR,li1,56.8100,89.7600,1.799994
FILLER_0_29_105,VPWR,li1,55.2000,89.7600,1.799994
FILLER_0_29_93,VPWR,li1,51.0600,89.7600,1.799995
FILLER_0_29_81,VPWR,li1,45.5400,89.7600,1.799995
FILLER_0_29_69,VPWR,li1,40.0200,89.7600,1.799996
FILLER_0_29_57,VPWR,li1,34.5000,89.7600,1.799997
FILLER_0_29_54,VPWR,li1,30.8200,89.7600,1.799997
FILLER_0_29_42,VPWR,li1,27.6000,89.7600,1.799998
FILLER_0_29_30,VPWR,li1,22.0800,89.7600,1.799998
FILLER_0_29_18,VPWR,li1,16.5600,89.7600,1.799998
FILLER_0_29_6,VPWR,li1,11.0400,89.7600,1.799998
FILLER_0_28_241,VPWR,li1,116.6100,89.7600,1.799992
FILLER_0_28_233,VPWR,li1,114.5400,89.7600,1.799992
FILLER_0_28_221,VPWR,li1,109.9400,89.7600,1.799992
FILLER_0_28_209,VPWR,li1,104.4200,89.7600,1.799992
FILLER_0_28_197,VPWR,li1,98.9000,89.7600,1.799992
FILLER_0_28_192,VPWR,li1,94.7600,89.7600,1.799992
FILLER_0_28_180,VPWR,li1,91.0800,89.7600,1.799992
FILLER_0_28_141,VPWR,li1,70.8400,89.7600,1.799993
FILLER_0_28_137,VPWR,li1,69.2300,89.7600,1.799993
FILLER_0_28_130,VPWR,li1,66.2400,89.7600,1.799993
FILLER_0_28_118,VPWR,li1,62.5600,89.7600,1.799993
FILLER_0_28_106,VPWR,li1,57.0400,89.7600,1.799994
FILLER_0_28_102,VPWR,li1,52.6700,89.7600,1.799994
FILLER_0_28_85,VPWR,li1,45.0800,89.7600,1.799995
FILLER_0_28_77,VPWR,li1,41.8600,89.7600,1.799996
FILLER_0_28_65,VPWR,li1,38.1800,89.7600,1.799996
FILLER_0_28_53,VPWR,li1,32.6600,89.7600,1.799997
FILLER_0_28_41,VPWR,li1,27.1400,89.7600,1.799998
FILLER_0_28_29,VPWR,li1,21.6200,89.7600,1.799998
FILLER_0_28_27,VPWR,li1,18.1700,89.7600,1.799998
FILLER_0_28_15,VPWR,li1,15.1800,89.7600,1.799998
FILLER_0_28_3,VPWR,li1,9.6600,89.7600,1.799998
FILLER_0_27_241,VPWR,li1,116.6100,84.3200,1.799993
FILLER_0_27_237,VPWR,li1,115.4600,84.3200,1.799993
FILLER_0_27_225,VPWR,li1,111.7800,84.3200,1.799993
FILLER_0_27_212,VPWR,li1,105.8000,84.3200,1.799993
FILLER_0_27_200,VPWR,li1,100.2800,84.3200,1.799993
FILLER_0_27_188,VPWR,li1,94.7600,84.3200,1.799993
FILLER_0_27_176,VPWR,li1,89.2400,84.3200,1.799993
FILLER_0_27_158,VPWR,li1,79.1200,84.3200,1.799993
FILLER_0_27_147,VPWR,li1,74.0600,84.3200,1.799993
FILLER_0_27_143,VPWR,li1,71.5300,84.3200,1.799993
FILLER_0_27_137,VPWR,li1,69.9200,84.3200,1.799993
FILLER_0_27_125,VPWR,li1,65.7800,84.3200,1.799994
FILLER_0_27_113,VPWR,li1,60.2600,84.3200,1.799994
