Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_30_241,VGND,li1,116.6100,92.4800,0.000008
FILLER_0_30_237,VGND,li1,115.4600,92.4800,0.000008
FILLER_0_30_225,VGND,li1,111.7800,92.4800,0.000008
FILLER_0_30_221,VGND,li1,107.8700,92.4800,0.000008
FILLER_0_30_209,VGND,li1,104.4200,92.4800,0.000008
FILLER_0_30_197,VGND,li1,98.9000,92.4800,0.000008
FILLER_0_30_193,VGND,li1,94.9900,92.4800,0.000008
FILLER_0_30_181,VGND,li1,91.5400,92.4800,0.000008
FILLER_0_30_174,VGND,li1,86.4800,92.4800,0.000008
FILLER_0_30_169,VGND,li1,83.7200,92.4800,0.000008
FILLER_0_30_167,VGND,li1,82.5700,92.4800,0.000008
FILLER_0_30_160,VGND,li1,80.0400,92.4800,0.000007
FILLER_0_30_153,VGND,li1,76.8200,92.4800,0.000007
FILLER_0_30_146,VGND,li1,73.6000,92.4800,0.000007
FILLER_0_30_141,VGND,li1,70.8400,92.4800,0.000007
FILLER_0_30_139,VGND,li1,69.6900,92.4800,0.000007
FILLER_0_30_132,VGND,li1,67.1600,92.4800,0.000007
FILLER_0_30_126,VGND,li1,64.1700,92.4800,0.000007
FILLER_0_30_118,VGND,li1,61.6400,92.4800,0.000006
FILLER_0_30_113,VGND,li1,57.9600,92.4800,0.000006
FILLER_0_30_111,VGND,li1,56.8100,92.4800,0.000006
FILLER_0_30_104,VGND,li1,54.2800,92.4800,0.000005
FILLER_0_30_97,VGND,li1,51.0600,92.4800,0.000005
FILLER_0_30_90,VGND,li1,47.8400,92.4800,0.000005
FILLER_0_30_85,VGND,li1,45.0800,92.4800,0.000004
FILLER_0_30_83,VGND,li1,43.9300,92.4800,0.000004
FILLER_0_30_77,VGND,li1,41.6300,92.4800,0.000004
FILLER_0_30_69,VGND,li1,39.1000,92.4800,0.000004
FILLER_0_30_57,VGND,li1,34.5000,92.4800,0.000003
FILLER_0_30_53,VGND,li1,30.5900,92.4800,0.000002
FILLER_0_30_41,VGND,li1,27.1400,92.4800,0.000002
FILLER_0_30_29,VGND,li1,21.6200,92.4800,0.000002
FILLER_0_30_27,VGND,li1,18.1700,92.4800,0.000002
FILLER_0_30_15,VGND,li1,15.1800,92.4800,0.000002
FILLER_0_30_3,VGND,li1,9.6600,92.4800,0.000002
FILLER_0_29_241,VGND,li1,116.6100,92.4800,0.000008
FILLER_0_29_237,VGND,li1,115.4600,92.4800,0.000008
FILLER_0_29_225,VGND,li1,111.7800,92.4800,0.000008
FILLER_0_29_222,VGND,li1,108.1000,92.4800,0.000008
FILLER_0_29_210,VGND,li1,104.8800,92.4800,0.000008
FILLER_0_29_198,VGND,li1,99.3600,92.4800,0.000008
FILLER_0_29_186,VGND,li1,93.8400,92.4800,0.000008
FILLER_0_29_174,VGND,li1,88.3200,92.4800,0.000008
FILLER_0_29_167,VGND,li1,82.5700,92.4800,0.000008
FILLER_0_29_161,VGND,li1,80.9600,92.4800,0.000008
FILLER_0_29_149,VGND,li1,76.8200,92.4800,0.000007
FILLER_0_29_137,VGND,li1,71.3000,92.4800,0.000007
FILLER_0_29_125,VGND,li1,65.7800,92.4800,0.000007
FILLER_0_29_113,VGND,li1,60.2600,92.4800,0.000006
FILLER_0_29_111,VGND,li1,56.8100,92.4800,0.000006
FILLER_0_29_105,VGND,li1,55.2000,92.4800,0.000006
FILLER_0_29_93,VGND,li1,51.0600,92.4800,0.000005
FILLER_0_29_81,VGND,li1,45.5400,92.4800,0.000004
FILLER_0_29_69,VGND,li1,40.0200,92.4800,0.000004
FILLER_0_29_57,VGND,li1,34.5000,92.4800,0.000003
FILLER_0_29_54,VGND,li1,30.8200,92.4800,0.000002
FILLER_0_29_42,VGND,li1,27.6000,92.4800,0.000002
FILLER_0_29_30,VGND,li1,22.0800,92.4800,0.000002
